SITE.ID	sed	temp
WIDP99-0524-0-1	1.470872 	13.6
WIDP99-0595-1-1	1.426744 	10  
WIDP99-0596-1-1	1.410978 	11  
WIDP99-0599-1-1	0.6821021	10  
WIDP99-0600-1-1	1.653213 	14  
WIDP99-0602-1-1	0.9809768	13  
WIDP99-0605-1-1	1.306012 	 7  
WIDP99-0605-1-2	1.363711 	 8.5
WIDP99-0607-1-1	1.130334 	 9  
WIDP99-0610-1-1	1.523499 	14  
WIDP99-0611-1-1	1.456655 	11  
WIDP99-0613-1-1	1.757775 	 9  
WIDP99-0614-1-1	0        	 9.5
WIDP99-0615-1-1	1.341482 	 9  
WIDP99-0701-2-1	0.9354593	 8  
WMTP99-0503-2-1	0.9391351	 9  
WMTP99-0505-2-1	1.535716 	12  
WMTP99-0507-2-1	1.210535 	10  
WMTP99-0509-1-1	1.764496 	16.7
WMTP99-0510-0-1	1.609657 	 2  
WMTP99-0515-0-1	0.9391351	 8.6
WMTP99-0516-2-1	1.470872 	10.5
WMTP99-0517-1-1	1.302063 	14  
WMTP99-0518-2-1	1.302063 	11.8
WMTP99-0521-1-1	1.484639 	 8.1
WMTP99-0536-0-1	1.70757  	13.8
WMTP99-0537-0-1	1.789418 	17.8
WMTP99-0555-0-1	1.734487 	19.1
WMTP99-0574-0-1	1.842431 	17  
WMTP99-0586-0-1	1.698608 	18.9
WMTP99-0600-1-1	1.456655 	10.4
WMTP99-0604-1-1	1.497982 	11.6
WMTP99-0607-1-1	1.363901 	11.4
WMTP99-0608-1-1	1.235288 	 9  
WMTP99-0609-1-1	1.497982 	13.2
WMTP99-0621-1-1	1.591065 	10.1
WMTP99-0623-1-1	1.711606 	 9.3
WMTP99-0628-1-1	1.764496 	 9.4
WMTP99-0633-1-1	1.570432 	13.2
WMTP99-0648-1-1	1.78533  	10.6
WMTP99-0698-2-1	1.711606 	 8.1
WMTP99-0701-2-1	1.258706 	 8.8
WMTP99-0702-2-1	1.686806 	18.3
WMTP99-0704-2-1	1.535716 	 9.9
WMTP99-0705-2-1	1.422238 	 1.9
WMTP99-0713-2-1	0.7024654	11.3
WMTP99-0716-2-1	1.612784 	 8.8
WMTP99-0719-2-1	1.632505 	 7.4
WMTP99-0721-2-1	1.156347 	12.6
WMTP99-0722-2-1	1.341482 	 7.5
WMTP99-0723-2-1	1.381601 	11.9
WMTP99-0727-2-1	1.623249 	12.5
